"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.301738400E-2,-3.702422976E-1,-1.565957628E-2,-2.482406795E-1
6.169414100E-2,-3.613155782E-1,-2.183960751E-2,-2.157342136E-1
7.176494200E-2,-3.589351177E-1,-2.511501126E-2,-2.073021084E-1
8.180522500E-2,-3.527766764E-1,-3.083449230E-2,-1.948231757E-1
9.187602600E-2,-3.322204053E-1,-3.027418256E-2,-1.733624488E-1
1.019773450E-1,-2.915611863E-1,-2.932231873E-2,-1.583901644E-1
1.125974620E-1,-2.611170113E-1,-3.097913973E-2,-1.517184079E-1
1.226072270E-1,-2.526811957E-1,-3.434100002E-2,-1.522174031E-1
1.326169930E-1,-2.371176183E-1,-3.752079979E-2,-1.577889025E-1
1.426572760E-1,-2.163668275E-1,-3.666703030E-2,-1.614699960E-1
1.526670420E-1,-1.788695157E-1,-2.895072103E-2,-1.659900844E-1
1.627073250E-1,-1.442182362E-1,-1.835720986E-2,-1.750369221E-1
1.727170910E-1,-1.037599668E-1,-1.081796736E-2,-1.864480376E-1
1.827268560E-1,-7.601132989E-2,-5.439326633E-3,-2.038910091E-1
1.927671390E-1,-6.388673931E-2,-2.281973371E-3,-2.193874419E-1
2.028074230E-1,-5.564502999E-2,-3.307822393E-3,-2.240794003E-1
2.128171880E-1,-5.996913835E-2,-7.526772097E-3,-2.208742499E-1
2.228574710E-1,-7.482898235E-2,-1.490058005E-2,-2.166251689E-1
2.328977550E-1,-9.333146363E-2,-2.343740501E-2,-2.084861398E-1
2.429685550E-1,-1.134172007E-1,-3.697129712E-2,-1.926392913E-1
2.530088390E-1,-1.388416737E-1,-5.447640270E-2,-1.691449434E-1
2.630796390E-1,-1.743084788E-1,-7.587208599E-2,-1.342307478E-1
2.731809580E-1,-2.118128687E-1,-9.523186088E-2,-9.480040520E-2
2.832212410E-1,-2.666566968E-1,-1.144021004E-1,-4.123305902E-2
2.933225590E-1,-3.191275597E-1,-1.293991208E-1,9.840751067E-3
3.033933600E-1,-3.612744212E-1,-1.479292512E-1,6.415587664E-2
3.134336430E-1,-3.842932880E-1,-1.660644859E-1,1.255282760E-1
3.235349620E-1,-3.882333040E-1,-1.867352575E-1,1.813071519E-1
3.336057620E-1,-3.780494332E-1,-2.041680515E-1,2.442692667E-1
3.436460460E-1,-3.654843569E-1,-2.154183090E-1,2.977432907E-1
3.537473640E-1,-3.409211338E-1,-2.223082930E-1,3.296394050E-1
3.638181650E-1,-3.006658852E-1,-2.227796316E-1,3.502199650E-1
3.738889660E-1,-2.478431016E-1,-2.226133794E-1,3.679474294E-1
3.845090830E-1,-1.894210577E-1,-2.189106792E-1,3.740154803E-1
3.945493660E-1,-1.235566065E-1,-2.059096694E-1,3.705222607E-1
4.046506840E-1,-5.421786383E-2,-1.915012151E-1,3.635410368E-1
4.147214850E-1,5.910893437E-3,-1.738323420E-1,3.435851932E-1
4.347715340E-1,8.098844439E-2,-1.358235627E-1,2.742899060E-1
4.448118170E-1,1.202151105E-1,-1.214458793E-1,2.311119437E-1
4.651365240E-1,1.532349437E-1,-8.867524564E-2,1.314803362E-1
4.848813970E-1,2.070577145E-1,-4.458785057E-2,8.655704558E-3
5.048704110E-1,2.787738144E-1,1.883604936E-2,-1.342106014E-1
5.149717290E-1,3.172383904E-1,5.904201418E-2,-2.242616713E-1
5.250120120E-1,3.297721744E-1,8.778490126E-2,-3.228377104E-1
5.350828130E-1,3.294226229E-1,1.029764414E-1,-4.337354004E-1
5.451841320E-1,3.169141412E-1,1.084922478E-1,-5.570575595E-1
5.552549320E-1,3.021276891E-1,1.181563511E-1,-6.631531119E-1
5.653562510E-1,2.864523232E-1,1.298654824E-1,-7.649200559E-1
5.854368170E-1,2.748030126E-1,1.185612008E-1,-8.462765217E-1
5.955076180E-1,2.872414589E-1,1.097226068E-1,-8.476099372E-1
6.055784190E-1,3.185142577E-1,1.157804355E-1,-8.348082900E-1
6.156492200E-1,3.598828316E-1,1.389160752E-1,-8.144550920E-1
6.257505380E-1,4.219934344E-1,1.695685089E-1,-8.328912258E-1
6.357908210E-1,5.202143192E-1,2.048979402E-1,-8.749697208E-1
6.458616220E-1,6.095094681E-1,1.875341684E-1,-8.846166134E-1
