Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.033831593,0,0,0
0.052203175,0,0,0
0.071764942,0,0,0
0.081805225,0,0,0
0.091876026,-0.1271406114,-0.234661445,0.1442054212
0.101977345,-0.1130558625,-0.2033925951,0.1450922638
0.112597462,-0.1009483784,-0.1879706085,0.1445807368
0.122607227,-0.09018339217,-0.1737611592,0.1424084604
0.132616993,-0.08101395518,-0.1596550345,0.1397110522
0.142657276,-0.07349695265,-0.1454683691,0.1371492893
0.152667042,-0.06400066614,-0.1473335475,0.1278695762
0.162707325,-0.05735252053,-0.1467894018,0.1179314628
0.172717091,-0.05538044497,-0.1369153261,0.1100687161
0.182726856,-0.05442201719,-0.1328571588,0.09988544136
0.192767139,-0.05335149169,-0.1380520761,0.08656196296
0.202807423,-0.05424408987,-0.1397916526,0.07516599447
0.212817188,-0.05764249712,-0.131622836,0.06801232696
0.222857471,-0.05888329074,-0.1303368211,0.05941772088
0.232897755,-0.0581773445,-0.1337998509,0.05007636175
0.242968555,-0.05902945623,-0.1272386909,0.04549730569
0.253008839,-0.05943402275,-0.1197133586,0.04277851433
0.263079639,-0.05785524473,-0.114869751,0.04090438783
0.273180958,-0.05450370163,-0.1131402031,0.0404160358
0.283221241,-0.04738619551,-0.1223742664,0.03897541761
0.293322559,-0.03670023009,-0.1425871402,0.03646688908
0.30339336,-0.02621497586,-0.1572690755,0.03775908425
0.313433643,-0.0160014201,-0.1673029214,0.0412286669
0.323534962,-0.01078338455,-0.1556654572,0.05185806379
0.333605762,-0.006059635431,-0.1480276585,0.0600842461
0.343646046,0.0005148235941,-0.142106846,0.06694936007
0.353747364,0.01375247259,-0.1451893747,0.06938643754
0.363818165,0.03025916964,-0.1412950903,0.07213629037
0.373888966,0.04970029742,-0.1360359341,0.07311698049
0.384509083,0.07138071209,-0.1383396238,0.06967581064
0.394549366,0.09051147848,-0.136801213,0.06649912894
0.404650684,0.1088219136,-0.1434792727,0.05958122015
0.414721485,0.1240098551,-0.1482058913,0.05298692733
0.434771534,0.1471526325,-0.140772149,0.04791393876
0.444811817,0.1530687809,-0.1288125217,0.04651422426
0.465136524,0.1610053629,-0.1148411185,0.03898732364
0.484881397,0.1635585427,-0.1014968008,0.03060330637
0.504870411,0.1532655954,-0.1089333221,0.01421909966
0.514971729,0.1380503476,-0.1059798896,0.002821845235
0.525012012,0.1245005205,-0.1064262167,-0.01533605158
0.535082813,0.1056969464,-0.09709840268,-0.03653725609
0.545184132,0.09209518135,-0.09483741969,-0.0623459816
0.555254932,0.08441373706,-0.09402260184,-0.08698533475
0.565356251,0.07274764776,-0.1117541492,-0.1132806763
0.585436817,-0.008126387373,-0.1459119618,-0.152521804
0.595507618,-0.06051458418,-0.1584810615,-0.1650100201
0.605578419,-0.1052384377,-0.1805775315,-0.1797614992
0.61564922,-0.1348139197,-0.2124315947,-0.1946571916
0.625750538,-0.1595470607,-0.2518511117,-0.2159819305
0.635790821,-0.1781494766,-0.2979274988,-0.2420843542
0.645861622,-0.1953426152,-0.3323826492,-0.2676837146
0.655932423,-0.204954952,-0.3783055246,-0.2997297943
0.666460987,-0.2050618231,-0.438798219,-0.3369368911
0.686144825,-0.1915777624,-0.5742478967,-0.4059668183
0.696215626,-0.1717800498,-0.6393553019,-0.4219147861
0.706286427,-0.1474810988,-0.6931877136,-0.4242807925
0.716357227,-0.11239326,-0.7238283157,-0.4113015831
0.726428028,-0.07045067847,-0.7799569964,-0.4165051877
0.736498829,-0.02652974427,-0.8251270652,-0.4170381427
0.74656963,0.0100737568,-0.8476752639,-0.3857956827
0.75664043,0.03745684773,-0.8606388569,-0.3216344118
0.767291065,0.04452865943,-0.8432350755,-0.2233729959
0.786852833,0.1194154397,-0.8469378352,-0.03911020979
0.796923634,0.2045529038,-0.8357380629,0.03471140936
0.806963917,0.2980271578,-0.8162395954,0.1019453704
0.817034718,0.3755658865,-0.7571489215,0.1666114628
0.827105518,0.4566811323,-0.7314280272,0.2237316072
0.837176319,0.5300019383,-0.704059422,0.2738861442
0.847277637,0.5958560705,-0.6770918965,0.3141925931
0.857348438,0.6526746154,-0.6427178979,0.3485338092
0.868182179,0.7025913,-0.5997889638,0.3777880073
0.887591358,0.8124521971,-0.5119360685,0.4289768338
0.897631641,0.8527262211,-0.4540844858,0.4380501211
0.907702442,0.8869866133,-0.393789202,0.4363965392
0.917773243,0.8921311498,-0.3306558132,0.4102761447
0.927874561,0.9111683369,-0.2798700035,0.3832419515
0.937914845,0.9212334752,-0.2324242741,0.3469516039
0.947985645,0.9232045412,-0.1986567676,0.305452019
0.958086964,0.9157016277,-0.1727969348,0.2702345252
0.969042774,0.8971961737,-0.139531672,0.2351842821
0.988482471,0.8600409627,-0.07501375675,0.06257875264
1.00841045,0.8111970425,-0.0669778958,-0.2334287614
1.018481251,0.7536931634,-0.07252915949,-0.3646756113
1.028552052,0.7140107751,-0.07248973846,-0.4800848961
1.038622852,0.657111764,-0.07485683262,-0.5627959967
1.048693653,0.6176710725,-0.07432477921,-0.6397874355
1.058764454,0.5801448822,-0.07903259248,-0.70337677
1.068804737,0.5460523963,-0.09680534154,-0.7558373213
1.079211231,0.5107694268,-0.1073676348,-0.790869832
1.099047657,0.444609493,-0.1055064946,-0.8225972652
1.109118458,0.4051148295,-0.1038262993,-0.8023709059
1.119158741,0.3660858572,-0.09904190898,-0.7670634985
1.129260059,0.3213520348,-0.09306894243,-0.701990664
1.13933086,0.2890152633,-0.09033750743,-0.6467709541
1.149401661,0.2562832832,-0.07254878432,-0.5818590522
1.169543262,0.2030015588,-0.02648564428,-0.4662037194
